,SPRADDR_ZIP_PR,Unnamed: 0,SEMESTER,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
12804,CA,48555,Fall 2015,University of Hawai`i at Manoa,1,2015
12805,MO,48561,Fall 2015,University of Hawai`i at Manoa,1,2015
12806,CA,48566,Fall 2015,University of Hawai`i at Manoa,2,2015
12807,WA,48567,Fall 2015,University of Hawai`i at Manoa,1,2015
12808,OK,48571,Fall 2015,University of Hawai`i at Manoa,1,2015
12809,CA,48573,Fall 2015,University of Hawai`i at Manoa,1,2015
12810,CO,48574,Fall 2015,University of Hawai`i at Manoa,1,2015
12811,IL,48575,Fall 2015,University of Hawai`i at Manoa,1,2015
12812,WA,48581,Fall 2015,University of Hawai`i at Manoa,2,2015
12813,HI,48582,Fall 2015,University of Hawai`i at Manoa,3,2015
12814,NM,48584,Fall 2015,University of Hawai`i at Manoa,1,2015
12815,CA,48585,Fall 2015,University of Hawai`i at Manoa,1,2015
12816,CA,48590,Fall 2015,University of Hawai`i at Manoa,1,2015
12817,CA,48591,Fall 2015,University of Hawai`i at Manoa,1,2015
12818,CA,48596,Fall 2015,University of Hawai`i at Manoa,1,2015
12819,TN,48597,Fall 2015,University of Hawai`i at Manoa,1,2015
12820,CA,48598,Fall 2015,University of Hawai`i at Manoa,1,2015
12821,NV,48603,Fall 2015,University of Hawai`i at Manoa,1,2015
12822,CA,48604,Fall 2015,University of Hawai`i at Manoa,1,2015
12823,CA,48609,Fall 2015,University of Hawai`i at Manoa,1,2015
12824,CA,48610,Fall 2015,University of Hawai`i at Manoa,2,2015
12825,TX,48612,Fall 2015,University of Hawai`i at Manoa,1,2015
12826,CA,48614,Fall 2015,University of Hawai`i at Manoa,1,2015
12827,AZ,48616,Fall 2015,University of Hawai`i at Manoa,1,2015
12828,CA,48617,Fall 2015,University of Hawai`i at Manoa,1,2015
12829,CA,48618,Fall 2015,University of Hawai`i at Manoa,1,2015
12830,CA,48619,Fall 2015,University of Hawai`i at Manoa,1,2015
12831,MD,48620,Fall 2015,University of Hawai`i at Manoa,1,2015
12832,NV,48621,Fall 2015,University of Hawai`i at Manoa,1,2015
12833,CA,48625,Fall 2015,University of Hawai`i at Manoa,1,2015
12834,WV,48633,Fall 2015,University of Hawai`i at Manoa,1,2015
12835,nan,48637,Fall 2015,University of Hawai`i at Manoa,1,2015
12836,WA,48639,Fall 2015,University of Hawai`i at Manoa,1,2015
12837,OR,48640,Fall 2015,University of Hawai`i at Manoa,2,2015
12838,MD,48641,Fall 2015,University of Hawai`i at Manoa,1,2015
12839,CA,48643,Fall 2015,University of Hawai`i at Manoa,1,2015
12840,CO,48648,Fall 2015,University of Hawai`i at Manoa,1,2015
12841,WA,48649,Fall 2015,University of Hawai`i at Manoa,1,2015
12842,HI,48650,Fall 2015,University of Hawai`i at Manoa,2,2015
12843,HI,48653,Fall 2015,University of Hawai`i at Manoa,1,2015
12844,WA,48656,Fall 2015,University of Hawai`i at Manoa,1,2015
12845,CA,48663,Fall 2015,University of Hawai`i at Manoa,1,2015
12846,WA,48664,Fall 2015,University of Hawai`i at Manoa,1,2015
12847,FL,48666,Fall 2015,University of Hawai`i at Manoa,1,2015
12848,NY,48668,Fall 2015,University of Hawai`i at Manoa,1,2015
12849,CA,48671,Fall 2015,University of Hawai`i at Manoa,1,2015
12850,TX,48672,Fall 2015,University of Hawai`i at Manoa,1,2015
12851,CA,48675,Fall 2015,University of Hawai`i at Manoa,2,2015
12852,CA,48676,Fall 2015,University of Hawai`i at Manoa,1,2015
12853,HI,48681,Fall 2015,University of Hawai`i at Manoa,1,2015
12854,LA,48683,Fall 2015,University of Hawai`i at Manoa,1,2015
12855,CA,48686,Fall 2015,University of Hawai`i at Manoa,1,2015
12856,WY,48687,Fall 2015,University of Hawai`i at Manoa,1,2015
12857,CA,48688,Fall 2015,University of Hawai`i at Manoa,1,2015
12858,CA,48689,Fall 2015,University of Hawai`i at Manoa,1,2015
12859,HI,48692,Fall 2015,University of Hawai`i at Manoa,1,2015
12860,CA,48694,Fall 2015,University of Hawai`i at Manoa,1,2015
12861,CA,48695,Fall 2015,University of Hawai`i at Manoa,1,2015
12862,GA,48696,Fall 2015,University of Hawai`i at Manoa,1,2015
12863,GA,48700,Fall 2015,University of Hawai`i at Manoa,1,2015
12864,AR,48705,Fall 2015,University of Hawai`i at Manoa,1,2015
12865,CA,48706,Fall 2015,University of Hawai`i at Manoa,1,2015
12866,WA,48709,Fall 2015,University of Hawai`i at Manoa,1,2015
12867,MA,48712,Fall 2015,University of Hawai`i at Manoa,1,2015
12868,CA,48714,Fall 2015,University of Hawai`i at Manoa,1,2015
12869,CA,48720,Fall 2015,University of Hawai`i at Manoa,1,2015
12870,CO,48723,Fall 2015,University of Hawai`i at Manoa,1,2015
12871,HI,48724,Fall 2015,University of Hawai`i at Manoa,1,2015
12872,MD,48725,Fall 2015,University of Hawai`i at Manoa,1,2015
12874,AZ,48728,Fall 2015,University of Hawai`i at Manoa,1,2015
12875,CA,48732,Fall 2015,University of Hawai`i at Manoa,1,2015
12876,CA,48736,Fall 2015,University of Hawai`i at Manoa,2,2015
12877,AK,48737,Fall 2015,University of Hawai`i at Manoa,1,2015
12878,AK,48738,Fall 2015,University of Hawai`i at Manoa,1,2015
12879,KS,48739,Fall 2015,University of Hawai`i at Manoa,1,2015
12880,ME,48740,Fall 2015,University of Hawai`i at Manoa,1,2015
12881,CA,48744,Fall 2015,University of Hawai`i at Manoa,1,2015
12882,NY,48745,Fall 2015,University of Hawai`i at Manoa,1,2015
12883,CA,48746,Fall 2015,University of Hawai`i at Manoa,1,2015
12884,WA,48747,Fall 2015,University of Hawai`i at Manoa,2,2015
12885,NC,48748,Fall 2015,University of Hawai`i at Manoa,1,2015
12886,HI,48749,Fall 2015,University of Hawai`i at Manoa,2,2015
12887,HI,48750,Fall 2015,University of Hawai`i at Manoa,2,2015
12888,VA,48751,Fall 2015,University of Hawai`i at Manoa,1,2015
12889,WY,48752,Fall 2015,University of Hawai`i at Manoa,1,2015
12890,MI,48754,Fall 2015,University of Hawai`i at Manoa,1,2015
12891,HI,48759,Fall 2015,University of Hawai`i at Manoa,2,2015
12892,CA,48762,Fall 2015,University of Hawai`i at Manoa,2,2015
12893,HI,48763,Fall 2015,University of Hawai`i at Manoa,1,2015
12895,OH,48771,Fall 2015,University of Hawai`i at Manoa,1,2015
12896,CA,48776,Fall 2015,University of Hawai`i at Manoa,1,2015
12897,VA,48780,Fall 2015,University of Hawai`i at Manoa,1,2015
12898,AZ,48781,Fall 2015,University of Hawai`i at Manoa,1,2015
12899,CA,48783,Fall 2015,University of Hawai`i at Manoa,1,2015
12900,FL,48785,Fall 2015,University of Hawai`i at Manoa,1,2015
12901,AZ,48786,Fall 2015,University of Hawai`i at Manoa,2,2015
12902,SD,48788,Fall 2015,University of Hawai`i at Manoa,1,2015
12903,CA,48789,Fall 2015,University of Hawai`i at Manoa,1,2015
12904,CA,48791,Fall 2015,University of Hawai`i at Manoa,1,2015
12905,CA,48794,Fall 2015,University of Hawai`i at Manoa,1,2015
12906,WA,48797,Fall 2015,University of Hawai`i at Manoa,1,2015
12907,MN,48798,Fall 2015,University of Hawai`i at Manoa,1,2015
12908,NY,48800,Fall 2015,University of Hawai`i at Manoa,1,2015
12909,CA,48804,Fall 2015,University of Hawai`i at Manoa,1,2015
12910,WA,48808,Fall 2015,University of Hawai`i at Manoa,1,2015
12911,ID,48809,Fall 2015,University of Hawai`i at Manoa,1,2015
12912,TN,48812,Fall 2015,University of Hawai`i at Manoa,1,2015
12913,TX,48814,Fall 2015,University of Hawai`i at Manoa,1,2015
12914,CA,48815,Fall 2015,University of Hawai`i at Manoa,1,2015
12915,CA,48816,Fall 2015,University of Hawai`i at Manoa,1,2015
12916,CA,48822,Fall 2015,University of Hawai`i at Manoa,1,2015
12917,TX,48824,Fall 2015,University of Hawai`i at Manoa,1,2015
12918,HI,48830,Fall 2015,University of Hawai`i at Manoa,1,2015
12919,VA,48831,Fall 2015,University of Hawai`i at Manoa,1,2015
12920,CA,48833,Fall 2015,University of Hawai`i at Manoa,1,2015
12921,FL,48834,Fall 2015,University of Hawai`i at Manoa,1,2015
12922,IL,48836,Fall 2015,University of Hawai`i at Manoa,1,2015
12923,WA,48837,Fall 2015,University of Hawai`i at Manoa,1,2015
12924,FL,48838,Fall 2015,University of Hawai`i at Manoa,1,2015
12925,CA,48841,Fall 2015,University of Hawai`i at Manoa,1,2015
12926,CA,48843,Fall 2015,University of Hawai`i at Manoa,1,2015
12927,CA,48844,Fall 2015,University of Hawai`i at Manoa,1,2015
12928,NJ,48847,Fall 2015,University of Hawai`i at Manoa,1,2015
12929,CO,48850,Fall 2015,University of Hawai`i at Manoa,1,2015
12930,CA,48851,Fall 2015,University of Hawai`i at Manoa,1,2015
12931,CA,48855,Fall 2015,University of Hawai`i at Manoa,1,2015
12932,NC,48859,Fall 2015,University of Hawai`i at Manoa,1,2015
12933,CA,48865,Fall 2015,University of Hawai`i at Manoa,1,2015
12934,CA,48866,Fall 2015,University of Hawai`i at Manoa,1,2015
12935,CA,48869,Fall 2015,University of Hawai`i at Manoa,1,2015
12936,HI,48872,Fall 2016,University of Hawai`i at Manoa,164,2016
12937,HI,48874,Fall 2016,University of Hawai`i at Manoa,61,2016
12938,HI,48876,Fall 2016,University of Hawai`i at Manoa,88,2016
12939,CA,48883,Fall 2016,University of Hawai`i at Manoa,1,2016
12940,HI,48885,Fall 2016,University of Hawai`i at Manoa,269,2016
12941,NV,48887,Fall 2016,University of Hawai`i at Manoa,1,2016
12942,AZ,48891,Fall 2016,University of Hawai`i at Manoa,1,2016
12943,ID,48906,Fall 2016,University of Hawai`i at Manoa,1,2016
12944,CA,48907,Fall 2016,University of Hawai`i at Manoa,1,2016
12945,HI,48908,Fall 2016,University of Hawai`i at Manoa,10,2016
12946,HI,48909,Fall 2016,University of Hawai`i at Manoa,4,2016
12947,HI,48910,Fall 2016,University of Hawai`i at Manoa,79,2016
12948,CA,48912,Fall 2016,University of Hawai`i at Manoa,1,2016
12949,HI,48921,Fall 2016,University of Hawai`i at Manoa,58,2016
12950,HI,48922,Fall 2016,University of Hawai`i at Manoa,76,2016
12951,HI,48924,Fall 2016,University of Hawai`i at Manoa,4,2016
12952,CO,48930,Fall 2016,University of Hawai`i at Manoa,4,2016
12953,HI,48931,Fall 2016,University of Hawai`i at Manoa,26,2016
12954,CA,48933,Fall 2016,University of Hawai`i at Manoa,1,2016
12955,CO,48945,Fall 2016,University of Hawai`i at Manoa,5,2016
12956,CA,48947,Fall 2016,University of Hawai`i at Manoa,4,2016
12957,HI,48948,Fall 2016,University of Hawai`i at Manoa,3,2016
12958,HI,48953,Fall 2016,University of Hawai`i at Manoa,58,2016
12959,IN,48954,Fall 2016,University of Hawai`i at Manoa,1,2016
12960,HI,48956,Fall 2016,University of Hawai`i at Manoa,2,2016
12961,WA,48957,Fall 2016,University of Hawai`i at Manoa,2,2016
12962,AK,48962,Fall 2016,University of Hawai`i at Manoa,2,2016
12963,nan,48964,Fall 2016,University of Hawai`i at Manoa,2,2016
12964,HI,48971,Fall 2016,University of Hawai`i at Manoa,45,2016
12965,CA,48973,Fall 2016,University of Hawai`i at Manoa,1,2016
12966,HI,48975,Fall 2016,University of Hawai`i at Manoa,11,2016
12967,CA,48978,Fall 2016,University of Hawai`i at Manoa,1,2016
12968,HI,48980,Fall 2016,University of Hawai`i at Manoa,9,2016
12969,VA,48981,Fall 2016,University of Hawai`i at Manoa,1,2016
12970,CA,48984,Fall 2016,University of Hawai`i at Manoa,1,2016
12971,HI,48985,Fall 2016,University of Hawai`i at Manoa,86,2016
12972,CA,48986,Fall 2016,University of Hawai`i at Manoa,2,2016
12973,HI,48987,Fall 2016,University of Hawai`i at Manoa,26,2016
12974,HI,48988,Fall 2016,University of Hawai`i at Manoa,1,2016
12975,CA,48995,Fall 2016,University of Hawai`i at Manoa,2,2016
12976,HI,48998,Fall 2016,University of Hawai`i at Manoa,12,2016
12977,HI,48999,Fall 2016,University of Hawai`i at Manoa,8,2016
12978,HI,49017,Fall 2016,University of Hawai`i at Manoa,5,2016
12979,HI,49019,Fall 2016,University of Hawai`i at Manoa,2,2016
12980,CT,49023,Fall 2016,University of Hawai`i at Manoa,2,2016
12981,HI,49025,Fall 2016,University of Hawai`i at Manoa,45,2016
12982,HI,49026,Fall 2016,University of Hawai`i at Manoa,2,2016
12983,NV,49029,Fall 2016,University of Hawai`i at Manoa,2,2016
12984,CA,49032,Fall 2016,University of Hawai`i at Manoa,1,2016
12985,HI,49033,Fall 2016,University of Hawai`i at Manoa,12,2016
12986,CA,49034,Fall 2016,University of Hawai`i at Manoa,1,2016
12987,HI,49035,Fall 2016,University of Hawai`i at Manoa,64,2016
12988,TX,49037,Fall 2016,University of Hawai`i at Manoa,1,2016
12989,HI,49039,Fall 2016,University of Hawai`i at Manoa,4,2016
12990,CA,49042,Fall 2016,University of Hawai`i at Manoa,1,2016
12991,HI,49044,Fall 2016,University of Hawai`i at Manoa,2,2016
12992,CA,49049,Fall 2016,University of Hawai`i at Manoa,1,2016
12993,CA,49053,Fall 2016,University of Hawai`i at Manoa,1,2016
12994,FL,49062,Fall 2016,University of Hawai`i at Manoa,1,2016
12995,OH,49063,Fall 2016,University of Hawai`i at Manoa,1,2016
12996,HI,49068,Fall 2016,University of Hawai`i at Manoa,3,2016
12997,MO,49069,Fall 2016,University of Hawai`i at Manoa,1,2016
12998,PA,49070,Fall 2016,University of Hawai`i at Manoa,1,2016
12999,HI,49073,Fall 2016,University of Hawai`i at Manoa,4,2016
13000,TX,49075,Fall 2016,University of Hawai`i at Manoa,1,2016
13001,CA,49076,Fall 2016,University of Hawai`i at Manoa,1,2016
13002,NJ,49077,Fall 2016,University of Hawai`i at Manoa,1,2016
13003,NJ,49079,Fall 2016,University of Hawai`i at Manoa,1,2016
13004,WA,49081,Fall 2016,University of Hawai`i at Manoa,1,2016
13005,CA,49088,Fall 2016,University of Hawai`i at Manoa,1,2016
13006,WA,49089,Fall 2016,University of Hawai`i at Manoa,2,2016
13007,CA,49094,Fall 2016,University of Hawai`i at Manoa,1,2016
13008,HI,49095,Fall 2016,University of Hawai`i at Manoa,42,2016
13009,CA,49096,Fall 2016,University of Hawai`i at Manoa,1,2016
13010,MD,49101,Fall 2016,University of Hawai`i at Manoa,1,2016
13011,TX,49103,Fall 2016,University of Hawai`i at Manoa,1,2016
13012,CA,49104,Fall 2016,University of Hawai`i at Manoa,1,2016
13013,HI,49107,Fall 2016,University of Hawai`i at Manoa,18,2016
13014,CO,49108,Fall 2016,University of Hawai`i at Manoa,4,2016
13015,AZ,49110,Fall 2016,University of Hawai`i at Manoa,1,2016
13016,ID,49114,Fall 2016,University of Hawai`i at Manoa,1,2016
13017,CA,49116,Fall 2016,University of Hawai`i at Manoa,1,2016
13018,CA,49117,Fall 2016,University of Hawai`i at Manoa,1,2016
13019,OR,49121,Fall 2016,University of Hawai`i at Manoa,1,2016
13020,CA,49122,Fall 2016,University of Hawai`i at Manoa,2,2016
13021,NY,49125,Fall 2016,University of Hawai`i at Manoa,1,2016
13022,WI,49126,Fall 2016,University of Hawai`i at Manoa,1,2016
13023,CA,49127,Fall 2016,University of Hawai`i at Manoa,3,2016
13024,WA,49128,Fall 2016,University of Hawai`i at Manoa,1,2016
13025,MD,49131,Fall 2016,University of Hawai`i at Manoa,1,2016
13026,NJ,49133,Fall 2016,University of Hawai`i at Manoa,1,2016
13027,MA,49134,Fall 2016,University of Hawai`i at Manoa,2,2016
13028,HI,49139,Fall 2016,University of Hawai`i at Manoa,14,2016
13029,HI,49142,Fall 2016,University of Hawai`i at Manoa,2,2016
13030,MI,49143,Fall 2016,University of Hawai`i at Manoa,1,2016
13031,WA,49146,Fall 2016,University of Hawai`i at Manoa,1,2016
13032,CA,49147,Fall 2016,University of Hawai`i at Manoa,1,2016
13033,HI,49153,Fall 2016,University of Hawai`i at Manoa,6,2016
13034,CA,49154,Fall 2016,University of Hawai`i at Manoa,1,2016
13035,CA,49155,Fall 2016,University of Hawai`i at Manoa,2,2016
13036,HI,49158,Fall 2016,University of Hawai`i at Manoa,5,2016
13037,HI,49162,Fall 2016,University of Hawai`i at Manoa,1,2016
13038,CO,49166,Fall 2016,University of Hawai`i at Manoa,3,2016
13039,WA,49172,Fall 2016,University of Hawai`i at Manoa,1,2016
13040,CA,49177,Fall 2016,University of Hawai`i at Manoa,1,2016
13041,TX,49178,Fall 2016,University of Hawai`i at Manoa,2,2016
13042,HI,49179,Fall 2016,University of Hawai`i at Manoa,1,2016
13043,HI,49183,Fall 2016,University of Hawai`i at Manoa,1,2016
13044,CA,49186,Fall 2016,University of Hawai`i at Manoa,1,2016
13046,NY,49189,Fall 2016,University of Hawai`i at Manoa,1,2016
13047,HI,49192,Fall 2016,University of Hawai`i at Manoa,10,2016
13048,HI,49194,Fall 2016,University of Hawai`i at Manoa,11,2016
13049,AL,49195,Fall 2016,University of Hawai`i at Manoa,1,2016
13050,HI,49198,Fall 2016,University of Hawai`i at Manoa,15,2016
13051,HI,49200,Fall 2016,University of Hawai`i at Manoa,1,2016
13052,HI,49204,Fall 2016,University of Hawai`i at Manoa,16,2016
13053,NV,49205,Fall 2016,University of Hawai`i at Manoa,2,2016
13054,HI,49214,Fall 2016,University of Hawai`i at Manoa,1,2016
13055,NY,49215,Fall 2016,University of Hawai`i at Manoa,1,2016
13056,HI,49216,Fall 2016,University of Hawai`i at Manoa,1,2016
13057,OR,49224,Fall 2016,University of Hawai`i at Manoa,1,2016
13058,CA,49225,Fall 2016,University of Hawai`i at Manoa,1,2016
13059,ME,49226,Fall 2016,University of Hawai`i at Manoa,1,2016
13060,CA,49228,Fall 2016,University of Hawai`i at Manoa,1,2016
13061,CA,49232,Fall 2016,University of Hawai`i at Manoa,1,2016
13062,CA,49234,Fall 2016,University of Hawai`i at Manoa,1,2016
13063,HI,49236,Fall 2016,University of Hawai`i at Manoa,10,2016
13064,HI,49238,Fall 2016,University of Hawai`i at Manoa,19,2016
13065,WI,49239,Fall 2016,University of Hawai`i at Manoa,1,2016
13066,WA,49241,Fall 2016,University of Hawai`i at Manoa,2,2016
13067,AK,49243,Fall 2016,University of Hawai`i at Manoa,1,2016
13068,VA,49244,Fall 2016,University of Hawai`i at Manoa,1,2016
13069,OR,49248,Fall 2016,University of Hawai`i at Manoa,1,2016
13070,CA,49249,Fall 2016,University of Hawai`i at Manoa,1,2016
13071,VA,49250,Fall 2016,University of Hawai`i at Manoa,1,2016
13072,IA,49253,Fall 2016,University of Hawai`i at Manoa,1,2016
13073,UT,49255,Fall 2016,University of Hawai`i at Manoa,2,2016
13074,HI,49256,Fall 2016,University of Hawai`i at Manoa,13,2016
13075,WA,49261,Fall 2016,University of Hawai`i at Manoa,1,2016
13076,HI,49271,Fall 2016,University of Hawai`i at Manoa,2,2016
13077,WA,49272,Fall 2016,University of Hawai`i at Manoa,1,2016
13078,WA,49276,Fall 2016,University of Hawai`i at Manoa,1,2016
13079,AL,49277,Fall 2016,University of Hawai`i at Manoa,1,2016
13080,HI,49284,Fall 2016,University of Hawai`i at Manoa,6,2016
13081,CA,49286,Fall 2016,University of Hawai`i at Manoa,1,2016
13082,HI,49289,Fall 2016,University of Hawai`i at Manoa,1,2016
13083,CA,49290,Fall 2016,University of Hawai`i at Manoa,1,2016
13084,CA,49292,Fall 2016,University of Hawai`i at Manoa,2,2016
13085,HI,49299,Fall 2016,University of Hawai`i at Manoa,1,2016
13086,HI,49301,Fall 2016,University of Hawai`i at Manoa,6,2016
13087,TX,49303,Fall 2016,University of Hawai`i at Manoa,1,2016
13088,CA,49305,Fall 2016,University of Hawai`i at Manoa,1,2016
13089,CA,49306,Fall 2016,University of Hawai`i at Manoa,1,2016
13090,VA,49309,Fall 2016,University of Hawai`i at Manoa,1,2016
13091,MI,49315,Fall 2016,University of Hawai`i at Manoa,1,2016
13093,CA,49319,Fall 2016,University of Hawai`i at Manoa,1,2016
13094,CA,49321,Fall 2016,University of Hawai`i at Manoa,2,2016
13095,FL,49322,Fall 2016,University of Hawai`i at Manoa,1,2016
13096,CA,49325,Fall 2016,University of Hawai`i at Manoa,1,2016
13097,HI,49326,Fall 2016,University of Hawai`i at Manoa,2,2016
13098,CA,49328,Fall 2016,University of Hawai`i at Manoa,1,2016
13099,HI,49329,Fall 2016,University of Hawai`i at Manoa,1,2016
13100,WA,49330,Fall 2016,University of Hawai`i at Manoa,1,2016
13101,CA,49332,Fall 2016,University of Hawai`i at Manoa,1,2016
13102,FL,49333,Fall 2016,University of Hawai`i at Manoa,1,2016
13103,MT,49338,Fall 2016,University of Hawai`i at Manoa,1,2016
13105,AK,49340,Fall 2016,University of Hawai`i at Manoa,2,2016
13106,CA,49341,Fall 2016,University of Hawai`i at Manoa,2,2016
13107,NY,49342,Fall 2016,University of Hawai`i at Manoa,1,2016
13108,CA,49343,Fall 2016,University of Hawai`i at Manoa,1,2016
13109,CA,49346,Fall 2016,University of Hawai`i at Manoa,4,2016
13110,HI,49349,Fall 2016,University of Hawai`i at Manoa,2,2016
13111,CA,49351,Fall 2016,University of Hawai`i at Manoa,2,2016
13112,AK,49352,Fall 2016,University of Hawai`i at Manoa,1,2016
13113,KS,49353,Fall 2016,University of Hawai`i at Manoa,1,2016
13114,CA,49357,Fall 2016,University of Hawai`i at Manoa,1,2016
13115,HI,49362,Fall 2016,University of Hawai`i at Manoa,5,2016
13116,CA,49363,Fall 2016,University of Hawai`i at Manoa,2,2016
13117,HI,49369,Fall 2016,University of Hawai`i at Manoa,1,2016
13118,IL,49370,Fall 2016,University of Hawai`i at Manoa,1,2016
13119,TX,49373,Fall 2016,University of Hawai`i at Manoa,1,2016
13120,HI,49378,Fall 2016,University of Hawai`i at Manoa,2,2016
13121,OR,49379,Fall 2016,University of Hawai`i at Manoa,2,2016
13122,WA,49380,Fall 2016,University of Hawai`i at Manoa,1,2016
13123,TX,49381,Fall 2016,University of Hawai`i at Manoa,1,2016
13124,CA,49382,Fall 2016,University of Hawai`i at Manoa,1,2016
13125,AZ,49383,Fall 2016,University of Hawai`i at Manoa,1,2016
13126,HI,49386,Fall 2016,University of Hawai`i at Manoa,1,2016
13127,AZ,49388,Fall 2016,University of Hawai`i at Manoa,1,2016
13129,IL,49395,Fall 2016,University of Hawai`i at Manoa,1,2016
13130,CA,49398,Fall 2016,University of Hawai`i at Manoa,1,2016
13131,HI,49399,Fall 2016,University of Hawai`i at Manoa,1,2016
13132,HI,49400,Fall 2016,University of Hawai`i at Manoa,1,2016
13133,CO,49401,Fall 2016,University of Hawai`i at Manoa,2,2016
13134,MI,49407,Fall 2016,University of Hawai`i at Manoa,1,2016
13135,NJ,49408,Fall 2016,University of Hawai`i at Manoa,1,2016
13136,CA,49409,Fall 2016,University of Hawai`i at Manoa,1,2016
13137,UT,49413,Fall 2016,University of Hawai`i at Manoa,1,2016
13138,ID,49415,Fall 2016,University of Hawai`i at Manoa,2,2016
13139,HI,49421,Fall 2016,University of Hawai`i at Manoa,2,2016
13140,CA,49424,Fall 2016,University of Hawai`i at Manoa,1,2016
13141,WA,49427,Fall 2016,University of Hawai`i at Manoa,1,2016
13142,MD,49429,Fall 2016,University of Hawai`i at Manoa,1,2016
13143,CA,49430,Fall 2016,University of Hawai`i at Manoa,1,2016
13144,CA,49437,Fall 2016,University of Hawai`i at Manoa,2,2016
13145,CO,49439,Fall 2016,University of Hawai`i at Manoa,1,2016
13146,SD,49440,Fall 2016,University of Hawai`i at Manoa,1,2016
13147,HI,49441,Fall 2016,University of Hawai`i at Manoa,3,2016
13148,CA,49442,Fall 2016,University of Hawai`i at Manoa,1,2016
13149,OH,49444,Fall 2016,University of Hawai`i at Manoa,1,2016
13150,CA,49448,Fall 2016,University of Hawai`i at Manoa,1,2016
13151,AZ,49450,Fall 2016,University of Hawai`i at Manoa,1,2016
13152,CA,49452,Fall 2016,University of Hawai`i at Manoa,1,2016
13153,CA,49454,Fall 2016,University of Hawai`i at Manoa,1,2016
13154,OR,49456,Fall 2016,University of Hawai`i at Manoa,1,2016
13155,CA,49460,Fall 2016,University of Hawai`i at Manoa,2,2016
13157,CA,49466,Fall 2016,University of Hawai`i at Manoa,3,2016
13158,CA,49470,Fall 2016,University of Hawai`i at Manoa,1,2016
13159,CT,49472,Fall 2016,University of Hawai`i at Manoa,1,2016
13160,CA,49474,Fall 2016,University of Hawai`i at Manoa,1,2016
13162,FL,49478,Fall 2016,University of Hawai`i at Manoa,1,2016
13163,MN,49479,Fall 2016,University of Hawai`i at Manoa,1,2016
13164,AZ,49480,Fall 2016,University of Hawai`i at Manoa,1,2016
13165,HI,49481,Fall 2016,University of Hawai`i at Manoa,4,2016
13166,CA,49483,Fall 2016,University of Hawai`i at Manoa,1,2016
13167,CA,49484,Fall 2016,University of Hawai`i at Manoa,1,2016
13168,WI,49486,Fall 2016,University of Hawai`i at Manoa,1,2016
13169,MA,49487,Fall 2016,University of Hawai`i at Manoa,1,2016
13170,VT,49488,Fall 2016,University of Hawai`i at Manoa,1,2016
13171,VT,49492,Fall 2016,University of Hawai`i at Manoa,1,2016
13172,CO,49494,Fall 2016,University of Hawai`i at Manoa,1,2016
13173,FL,49496,Fall 2016,University of Hawai`i at Manoa,1,2016
13174,CA,49497,Fall 2016,University of Hawai`i at Manoa,1,2016
13175,CO,49498,Fall 2016,University of Hawai`i at Manoa,1,2016
13176,VA,49501,Fall 2016,University of Hawai`i at Manoa,1,2016
13178,CA,49508,Fall 2016,University of Hawai`i at Manoa,1,2016
13179,WA,49511,Fall 2016,University of Hawai`i at Manoa,1,2016
13180,OR,49513,Fall 2016,University of Hawai`i at Manoa,1,2016
13181,HI,49514,Fall 2016,University of Hawai`i at Manoa,4,2016
13182,CA,49518,Fall 2016,University of Hawai`i at Manoa,1,2016
13183,HI,49519,Fall 2016,University of Hawai`i at Manoa,1,2016
13184,NV,49522,Fall 2016,University of Hawai`i at Manoa,1,2016
13185,NY,49525,Fall 2016,University of Hawai`i at Manoa,1,2016
13186,CO,49526,Fall 2016,University of Hawai`i at Manoa,1,2016
13187,NY,49527,Fall 2016,University of Hawai`i at Manoa,1,2016
13188,HI,49530,Fall 2016,University of Hawai`i at Manoa,6,2016
13189,VA,49536,Fall 2016,University of Hawai`i at Manoa,1,2016
13190,CA,49537,Fall 2016,University of Hawai`i at Manoa,1,2016
13191,HI,49540,Fall 2016,University of Hawai`i at Manoa,3,2016
13192,FL,49548,Fall 2016,University of Hawai`i at Manoa,2,2016
13193,CA,49551,Fall 2016,University of Hawai`i at Manoa,1,2016
13194,AZ,49553,Fall 2016,University of Hawai`i at Manoa,1,2016
13195,CA,49554,Fall 2016,University of Hawai`i at Manoa,1,2016
13196,CA,49555,Fall 2016,University of Hawai`i at Manoa,1,2016
13197,AK,49556,Fall 2016,University of Hawai`i at Manoa,1,2016
13198,WA,49558,Fall 2016,University of Hawai`i at Manoa,1,2016
13199,CA,49559,Fall 2016,University of Hawai`i at Manoa,1,2016
13200,OR,49560,Fall 2016,University of Hawai`i at Manoa,1,2016
13201,CA,49567,Fall 2016,University of Hawai`i at Manoa,4,2016
13202,CA,49568,Fall 2016,University of Hawai`i at Manoa,1,2016
13204,CA,49570,Fall 2016,University of Hawai`i at Manoa,4,2016
13205,NM,49572,Fall 2016,University of Hawai`i at Manoa,2,2016
13206,CA,49576,Fall 2016,University of Hawai`i at Manoa,1,2016
13207,HI,49583,Fall 2016,University of Hawai`i at Manoa,1,2016
13208,CA,49585,Fall 2016,University of Hawai`i at Manoa,1,2016
13209,CO,49593,Fall 2016,University of Hawai`i at Manoa,1,2016
13210,CA,49594,Fall 2016,University of Hawai`i at Manoa,1,2016
